strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Ruby Tuesday,Cocktail,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,"Gin,Cranberry,Grenadine,,,,,,,,,,,,","2 oz Gin,5 oz Cranberry juice,2 splashes Grenadine, , , , , , , , , ",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,Highball glass,Alcoholic
Rum Cobbler,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,"Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,,,,,,","1 tsp superfine Sugar,3 oz Club soda,1 Lemon,2 oz Dark rum,1 Maraschino cherry,1 Orange, , , , , , ","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",Old-fashioned glass,Alcoholic
Rum Cooler,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,"Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,","2 oz light or dark Rum,4 oz Lemon-lime soda,1 Lemon, , , , , , , , , ",Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,Collins glass,Alcoholic
Rum Milk Punch,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,"Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,,,","2 oz Light rum,1 cup Milk,1 tsp Powdered sugar,
 Nutmeg,
 ,
 ,
 ,
 ,
 , , , ",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,Collins glass,Alcoholic
Rum Old-fashioned,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,"Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime,,,,,,,,,","1 1/2 oz Light rum,1 tsp 151 proof rum,1/2 tsp Powdered sugar,1 dash Bitters,1 tsp Water,Twist of Lime peel, , , , , , ","Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",Old-fashioned glass,Alcoholic
Rum Punch,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,"Rum,Ginger ale,Fruit punch,Orange,Ice,,,,,,,,,,","mikey bottle Rum,large bottle Ginger ale,355 ml frozen Fruit punch,355 ml frozen Orange juice,crushed Ice, , , , , , , ",Mix all ingredients in a punch bowl and serve.,Punch bowl,Alcoholic
Rum Runner,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,"Malibu rum,Blackberry brandy,Orange,Pineapple,Cranberry,,,,,,,,,,","1 1/2 oz Malibu rum,1 oz Blackberry brandy,3-4 oz Orange juice,3-4 oz Pineapple juice,3-4 oz Cranberry juice, , , , , , , ",Mix all ingredients in glass & add ice.,Cocktail glass,Alcoholic
Rum Screwdriver,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwl7v81504886372.jpg,"Light rum,Orange,,,,,,,,,,,,,","1 1/2 oz Light rum,5 oz Orange juice, , , , , , , , , , ","Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Highball glass,Alcoholic
Rum Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,"Light rum,Lemon,Sugar,Orange,Maraschino cherry,,,,,,,,,,","2 oz Light rum,1 oz Lemon juice,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry, , , , , , , ","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Whiskey sour glass,Alcoholic
Rum Toddy,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,"Rum,Powdered sugar,Lemon,Water,,,,,,,,,,,","2 oz light or dark Rum,2 tsp Powdered sugar,1 twist of Lemon peel,2 tsp Water, , , , , , , , ",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Old-fashioned glass,Alcoholic
Russian Spring Punch,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,"Vodka,Creme de Cassis,Sugar Syrup,Lemon,,,,,,,,,,,","2.5 cl Vodka,1.5 cl Creme de Cassis,1 cl Sugar Syrup,2.5 cl Lemon Juice, , , , , , , , ","Pour the ingredients into an highball glass, top with Sparkling wine.",Highball glass,Alcoholic
Rusty Nail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,"Scotch,Drambuie,Lemon,,,,,,,,,,,,","1 1/2 oz Scotch,1/2 oz Drambuie,1 twist of Lemon peel, , , , , , , , , ",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Old-fashioned glass,Alcoholic
